id;from1;comment1;date1;testcountry
18;Rosanne Watts;We learnt lots from this tour and all of Boyko's suggestions for things to do and places to eat an drink were great. It made our holiday to Sofia and Bulgaria and we didn't want to go home.;01.06.2011;Scotland
19;Rodrigo GС–mez Vera;I liked so much, so much history and you get to know other travelers also! Thumbs up!;30.05.2011;Mexico
20;Michael Bayham;Took the tour with Mitko on monday- very insightful stuff you don't learn from a travel book. enjoyed it greatly!;26.05.2011;United States
21;Angelina Teneva;I had wonderful time. I think it is a brilliant idea and I learned a lot of facts about well-known places of which I had no idea about!!! So thank you very much!!;22.05.2011;Bulgaria
22;Baras Ozkaya;"I would strongly recommend this ""Free Sofia Tour"" for people who visits Sofia..We enjoyed it very much..Our guide Kris was very great, special thanks to him!";20.05.2011;Turkey
23;Kris Canode Bell;Thanks for the great tour today. You guys do a awesome job!;18.05.2011;United States
24;Baras Ozkaya;It was fun and we got many interesting informations about Sofia.;20.05.2011;Turkey
25;Ulrich Jung;Thank you, Boyko, for the perfect tour!;15.05.2011;Germany
26;David Stehlik;Thanks for giving us that fantastic tour last Saturday, Boyko. Your professionalism was appreciated and your passion for the city was evident. I pray for you continued success and blessing in serving as a liaison between your city and world travelers. Peace.;04.05.2011;United States
27;Ivan Chindurza;Thx again for the brilliant tour through Sofia.;03.04.2011;
28;Roberta Pennasilico;Thank YOU for the lovely guided tour. We really enjoyed it. I appreciate your work.;15.04.2011;Italy
29;Jay McKinnon;Vanya led us on your tour this afternoon and it was AMAZING!!! Thank you so much.;04.05.2011;UK
30;Benjaminek Chan;We had a very nice time in Sofia. Thanks to our great tour guide Vanya. We learnt a lot of interesting facts about Sofia!;17.03.2011;Hong Kong
31;Michael Brooks Reid;Thanks so much for the tour a couple of weeks ago! It was really fascinating and great to get some insight into your lovely city. ;27.04.2011;Australia
32;Carolyn Emigh;The quality you might ask? Top-notch and I've been on my fair share of tours in Eastern Europe.;23.04.2011;United States
33;Carolyn Emigh;And they're great. Really great I might add. They were organized. Thoughtful. Knowledgeable. Well-spoken. Good looking... The tour did a great job balancing history, culture and place.;23.04.2011;United States
34;Carolyn Emigh;Even though I live in the city, I had a great tour on Friday and learned a lot.;23.04.2011;United States
35;Michaela Plasilova;We had a GREAT time today at the Free Sofia Tour! The weather was amazing, our guide Misha was full of interesting info and couldnt be more helpful and the whole group was just perfect! Thank you so much for a wonderful tour around this beutiful city! We loved it!;21.04.2011;Czech Republic
36;Ann Cederhall;It was really, really good and interesting. Boyko was so knowledgeable and made it so much fun, it was a real educational even for us Sofia residents. a BIG thank you!;18.04.2011;Sweden
37;Debra Reene;Thanks for the tour of Sofia, we had a great time;16.04.2011;UK
38;Iva Antonieva;It was a really good experience, we spent a really nice and funny time, and saw the beautiful monuments of Sofia and Kris told us an interesting history of them and a lot of legents :)));13.04.2011;Bulgaria
39;Svetleto Newforest;My guest from France and I really enjoyed the tour with Boyko. thanks for making our capital a more beautiful place :);12.04.2011;Bulgaria
40;Azar Edward;Great tour, well recomended, thanks Dima for a great insight into Sofia, and the recommendations!;11.04.2011;
41;Elixir (metal band);Thanks to Boyko from Free Sofia Tours, for a very interesting tour of the city - highly recommended!;16.04.2011;UK
42;Justin Pavlova-Hawkes;Thanks for having us on your tour! A great way of discovering the history of Sofia.;05.04.2011;UK
43;Akos Kiss;Like a prime minister :) I had two tourist guides and an own tv crew accompanied me to visit Sofia :)));08.04.2011;Hungary
44;Sean Fridman;Free Sofia Tour is great!;01.04.2011;United States
45;Trevor Trevi;A los hispanohablantes recomiendo a Free Sofia Tour.Diferente forma de conocer a la capital bulgara por libre.Un saludo;27.03.2011;
46;Markus Maurer;i really enjoyed sofia! the free sofia tour with Vanya Nikova was great! when you visit sofia, don't miss the Free Sofia Tour !;29.03.2011;Switzerland
47;Vincenzo Caggiula ;We never saw Sofia the same way as on your tour! I have been living in Sofia for over a year, my wife is Bulgarian! Thank you so very much for the great time! ;23.06.2011;Italy
48;Francisco Lay;To the team at Free Sofia Tour and especially Vanya, THANK YOU very much for an awesome tour of your beautiful city. For anyone wondering whether its a good way to spend 2hrs of your time in Sofia, the answer is a resounding YES! These guys will show you stuff you would never see on your own whether in a day or over a week! Get on board, and enjoy! ;13.03.2011;Malaysia
49;Axelle & Luis;"We didn't regret to do it. Sometimes one just needs a different perspective! ;)";11.03.2011;
50;Karin Dalhues;I got to know many interesting things that were not in my guidebook!;19.01.2011;Germany
51;Benjamin Cheong;Thanks Kristian Mitov for your AMAZING tour around Sofia. It was definitely one of the main highlights in our Bulgaria trip. I recommend this so so so much :);26.02.2011;Malaysia
52;Nadejda;A great discovery for me in my hometown! Thank you Free Sofia Tour! :);20.02.2011;Bulgaria
53;Gary Gainsbury;Thanx Nikolai for a great one-to-one tour of the city. sooo interesting, will definitely come again...;23.02.2011;
54;Vanina Ivanova;I just came home from a tour around the city - I thought I was a proper local but it turns out there are so many things I didn't know about the city... Our guide, Nikolay, was amazing - thank you!;05.02.2011;Bulgaria
55;Rachel Doyle;I can highly recommend this tour. Our tour guide Vanya was really friendly and very knowledgeable. We really felt that afterwards we had 'seen' Sofia. I would encourage any visitor to Sofia to join this tour.;27.01.2011;UK
56;Karin Dalhues;Thanks for the cool trip today Kristian! :);16.01.2011;Germany
57;Sakura_Asakura;Perfect introduction to the history of Bulgaria! Our guide, Deni was very knowledgeable and told us detailed stories of the sites we visited. The tour was so interesting, and took us to some places that we wouldn't have found otherwise.;19.06.2011;UK
58;Claudia Lacina;Hey guys! IВґm from Vienna and made this tour in Sofia. It was really great, the tour guide Nikolai was very dedicated and intelligent. He has a big historical knowledge and speaks many languages. If you want to make the tour ask for Nikolai. Really interesting tour in a great city! Kind regards from Austria;03.01.2011;Austria
59;Aneliya Ivanova;You are great! Thank you for the tour! Keep walking...:);29.11.2010;Bulgaria
60;Arwyn J. M.;We had a great time walking around Sofia with Boyko, and then a fantastic dinner! Thanks again for a fine evening!;22.10.2010;Canada
61;Craig Hoyle;Great tour! Thanks a million, guys;02.10.2010;
62;Steve McLeod;Theodora gave us an AWESOME tour last night, with her large amounts of enthusiasm and New York-style personality. We enjoyed it ;11.10.2010;United States
63;Ian Polding;Great tour. Really enjoyed it. Thanks!;24.09.2010;
64;Ivona Mihajlovska Popovska;Great tour.... I really enjoyed it. Thanks :);01.10.2010;Macedonia
65;Wanda Auch;It was definatly something unique =) ;13.09.2010;
66;Naresh Kaushik;What Kristian is doing is great. On oour recent trip to Sofia, he enthusiastically showed us the old and new city.;21.09.2010;
67;Laura Richards;hey guys big love to you!! to any backpackers considering the tour DO IT! The BEST free tour, actually, best tour ive ever done (ive been travelling europe for 2 summers now) informative but a more personal approach than most. DO IT! ;06.09.2010;UK
68;Arty Chris B;I did the Free Sofia Tour with Boyko, it was excellent! Highly recommended! A very knowlegable and helpful guide!;18.11.2010;UK
69;Sarah Jane;I thought the tour added a lot to our wanderings around Sofia. Great to have an insider to answer lots of your questions. We had a great time meeting Kristian and the other people on the tour as well.;02.09.2010;
70;BRIANNAP;Thank you!!! I was pretty tired on Tuesday, but I went the following evening with Vanya. It was a great time! I think it's so cool that you guys do that!;20.10.2010;United States
71;Ian Beaty;My girlfriend and I went on the tour while we were in Sofia and had a great time. Kristian was a warm and enthusiastic guide, and the other folks we met on the tour were an excellent curious group. Sofia centre is a most likable appealing place and it was great to have Kristian to tell us about what it all meant!;01.09.2010;
72;Benjamin Cheong;Thanks Kristian Mitov for your AMAZING tour around Sofia. It was definitely one of the main highlights in our Bulgaria trip. I recommend this so so so much :)Kind Regards,Your Malaysian Friends;26.02.2011;
73;Arty Chris B (Great Britain);I did the Free Sofia Tour with Boyko, it was excellent! Highly recommended! A very knowlegable and helpful guide!;18.11.2010;
74;Gary Gainsbury;Thanx Nikolai for a great one-to-one tour of the city. sooo interesting, will definitely come again...;23.02.2011;
75;Mogou;Our guide was very friendly and enthusiastic (we had the tour despite the low temperature and the fact that we were only two travellers. We even thought of repeating the tour again on the next day cause it was so nice;03.04.2011;Greece
76;KristianCopenhagen;Great introduction to Bulgaria and a bit of an eyeopener. It was a pleasure joining such a knowlegdeable and passionate guide around Sofia - a guide who felt more like a personal friend shoving you around hometown .;29.04.2011;Denmark
77;Daisy12347;Great way to see all of the sights for a short time. Our tour guide, Misha, really knew her stuff. She was fun, enthusiastic , friendly and interesting.;22.05.2011;UK
78;Ester Zylber-Katz;Great walking tour of Sofia. Although we spend a couple of days before in Sofia, it was a very good final view of the sites, with some more personal stories and comments.;28.05.2011;Israel
79;Alex-Wan;Ideal introduction of the main city attractions in the center! We really enjoyed the experience and highly recommend the tour, and it is free! The guide gave us historical information, and showed the places to visit in a very pleasant way.;29.05.2011;
80;englebip;Unmissable walking tour of Sofia. We learned a lot not only about the city and the sights, but also about Bulgarian history, culture and traditions that would be hard to come by otherwise. I would highly recommend this tour to anyone visiting Sofia! ;30.05.2011;Netherlands
81;Boydryan;Do it! A great way to start our trip to Sofia. Lots of info, great pace and free. The guide Deni was just perfect and so friendly!;28.05.2011;UK
82;Manetta Marie-Louise;It was very interesting. I have learnt a lot about Sofia. A wonderful moment. Thank you and go on. I did the Sofia free tour with Dimitar on the 1st of June.;01.06.2011;France
83;boydryan;Do it! A great way to start our trip to Sofia. Lots of info, great pace and free. The guide Deni was just perfect and so friendly;05.06.2011;UK
84;Duygu Samyeli;Sofia is very lucky to have FreeSofiaTour :) I really impressed with the tour, Sofia is very lucky to have an organisation like this as it is a very good introduction to city's history. I am impressed how professional they were.;09.06.2011;Turkey
85;Valerie22222;Best way to experience Sofia! It was fantastic! A great way to check out all the main sights around the Bulgarian capital, meet new people, and hear interesting information about all the places you visit. ;11.06.2011;France
86;Dan Golding;The perfect introduction to Sofia! The perfect way to discover all the hidden gems that Sofia has to offer! The tour is run by really interesting, dynamic and dedicated volunteers who love their city and want to share its interesting history with others. ;12.06.2011;South Africa
87;ytuque;Fun & helpful introduction to Sofia. It was a great way to get a feel for the city and also a unique opportunity get to know a local. Our tour guide Boyko was fantastic.;14.06.2011;Spain
88;UberTourist101;Fantastic! We went along not expecting much but could not have had a more interesting and enjoyable experience. Our guide Niki (whose English was excellent) was extremely knowledgeable and informative and without the tour we would not have known anything like as much about Sofia.;14.06.2011;UK
89;Bakedbean47;The depth of knowledge and history the guide showed were exceptional and his style of presentation and sense of humour made the tour a joy. A thoroughly recommended way to spend half a day.;16.06.2011;UK
90;Valerie Vial;The Tour was great, Boyko was full of great stories about his town...;13.06.2011;France
91;Giang Bui ;Lovely tour of Sofia!;14.06.2011;Vietnam
92;Paola Lunesu;"La nostra guida Vanya ГЁ stata gentilissima. Grazie ancora ;) Abbiamo fatto il tour il 17 giugno ГЁ stato utilissimo lo consiglio a tutti!";20.06.2011;Italy
93;Megan Patchett;Tour was awesome! Thanks Deni :);23.06.2011;Australia
94;Leonard Patchett;Great tour thanks deni;23.06.2011;Australia
95;Sabriye Ozer;Thanks to Boyko and Nikolai for such a nice tour!;04.06.2011;Turkey
96;Gerry Foley;"Something very special indeed; freedom, fire, passion and erudition all masqerading as a leisurely stroll that even the weariest of souls can accomplish.";24.05.2011;United States
97;David Konefal-Shaer;Spent a very enjoyable afternoon walking the streets of Sofia with our guide, Boyko, today. My family recommends this tour for all english speakers who are new to Sofia. Thanks, Boyko.;06.07.2011;United States
98;Pei Pei Liu;Thanks very much for the enjoyable tour yesterday morning (6/7/11). My visiting friends had a great time and learned a lot - as did I! Really appreciated learning more about my adopted city and would definitely recommend the tour to others :);07.07.2011;United States
99;Christopher McDonald;Loved every minute of it!! We were on the tour today (12 July) with Boyko.  His English was perfect and he spoke loud enough so everyone in the tour could hear him clearly. His enthusiasm for the city was fantastic and his knowledge was second to none. This tour is a must for anyone thinking of visiting Sofia!! Thanks Boyko!!;12.07.2011;Ireland
100;Ma Lou;the tour was great. vivid, interesting and we had a great deal of fun!;14.07.2011;South Korea
101;Toke Kivit;It was very intresting! Thank you Niki for be our guide!;15.07.2011;Belgium
102;Hawaii-Cowgirl;A special, memorable Sofia experience. Our guide, Boyko, is a very intelligent, professional young man who is proud of his country and will, no doubt, be someone who helps shape BulgariaвЂ™s future. The tour was fun and informative. Our group consisted of people from all over the world (Japan, Germany, Canada, USA) which made it even more enjoyable. Boyko definitely added a special touch to our memorable experience in Sofia, and we would highly recommend the Free Sofia Tour.;21.06.2011;United States
103;lockieleonard;If you are in sofia for a limited time DO THIS! Knowledgeable guide, well paced tour. Great starting point for futute sofia sightseeing.;23.06.2011;Australia
104;septembermarch;A delightful experience! Please tip well after the tour! In 2 hours you can walk to see all the main sights of Sofia with an expert English speaking tour guide and all for free! We had Boyco as our tour guide and he was AWESOME!;26.06.2011;Macedonia
105;traveldigger;The tour was really great and interesting, maybe a little too much pure historian facts for my taste, but I absolutely recommend it . Our tour guide was Deni and she was really nice.;27.06.2011;Croatia
106;Gulemeto;These guys are great! We decided it was too good to do half way so we were sharp on time at the starting point the next day. These guys are all volunteers, speak excellent English, and give their time and passion to make your stay in Sofia more interesting. The tour is actually quite extensive and you learn a lot of information about history, architecture, culture, everyday life and much more.;14.07.2011;United States
107;Brendan Kelleher;Absolutely loved it. Congrats guys on a great service. I'm leaving with a really positive image of Sofia. Was reluctantly dragged along to the tour by my wife yesterday evening (with Boyko).;17.07.2011;Ireland
108;Jean Druette;We really loved it and warmly recommend it, especially at the beginning of your stay as it will make the rest of it much easier! ;17.07.2011;France
109;Charlotte Benfer ;The Danish family enjoyed your tour today very much. Thank you Deni.;18.07.2011;Denmark
110;Abelouahed El Moussaoui ;It was fantastic to discover Sofia with our guide! ;18.07.2011;France
111;David Taylor ;the tour was very informative, entertaining and well worth the time..great job! tour guide , a history major at Sofia U...was awesome;24.07.2011;
112;Mario Lorenzo Quintanilla ;I took part in the tour on 24th of July and it was great. Thanks a lot.;24.07.2011;Spain
113;Tal Gat ;niki was great. i appreciate your initiative and wish you all the best. Tal and Yael from Israel;30.07.2011;Israel
114;Curro Villarejo ;Wonderful tour and amazing guide, Thanks for all;01.08.2011;
115;Lisanne van der Zwet ;Had a great and interesting tour today with guide Deni! Thank you so much!;03.08.2011;Netherlands
116;Denitsa Rukanova;Special thanks to Petar for showing us around in the greatest way. My friends from the States loved it, me too:);08.08.2011;Bulgaria
117;Filip Dutka;Awesome initiative you guys, Ill be more than sure to give my best recommendation about you to anyone who asks about tourism in Bulgaria.;08.08.2011;Austria
118;Cristian Zarnescu;Had a great day today! Deni was our guide, really loved the tour, informative and great fun.;08.08.2011;Romania
119;Mira Elizabeth FisterTadic ;Deni was amaaaaazing! I feel like going back to Sofia just to do the tour again with her!!!!;30.08.2011;Japan
120;Rosa MarГ­a Cabrera;Thank you so much for your amazing tour. It was really interesting knowing the city of Sofia through people who love it. You can really be proud of your Tolerance Square. In fact, the bulgarian people are the most warm we have ever met.;16.08.2011;Spain
121;Camiel Steenhuis ;One of the nicest tours through a city I've ever had. Our guide was friendly, knew very much, enthusiastic and had a good sense of humor. Good storyteller. Thanks to this tour I will be back in Sofia in the future:);16.08.2011;Belgium
122;Sophie Martial;Really nice tour! 2h30 passed so fast, a really good way to see everything from outside in the city and to get precious informations and details about history. I hope you'll never stop this tour because it's really usefull for travellers like us! ;17.08.2011;France
123;Tsvetelina Hristova ;Р‘СЏС…РјРµ РЅР° С‚СѓСЂ СЃ РџРµС‚СЉСЂ, СЃСѓРїРµСЂ Рµ! Р‘РµС€Рµ РјРЅРѕРіРѕ Р»СЉС‡РµР·Р°СЂРµРЅ Рё РєР°Р·Р° С‚РѕР»РєРѕРІР° РЅРµС‰Р°, Р·Р° РєРѕРёС‚Рѕ Рё РЅРёРµ, Р±СЉР»РіР°СЂРёС‚Рµ, РЅСЏРјР°С…РјРµ РїСЂРµРґСЃС‚Р°РІР°.;20.08.2011;Bulgaria
124;Matt Hurford ;Sofia Walking Tour has been the best i have been on!!! 4 months travelling and about 15 walking tours later - Sofia is number 1. Really well run and great knowledge of history. Thanks Boyko;22.08.2011;Australia
125;Claire Camilleri ;Great sofia tour and very informative :));23.08.2011;
126;Anne Tuttle Brown;I had a great time on my Free Sofia Tour. The tour guide (Kristian) was funny, knowledgeable and kind. I recommend this tour to anyone that wants a fun time in Sofia. You will be more than surprised by all the ancient history in culture surrounding you - it was the crossroads for many ancient civilizations!;23.08.2011;United States
127;Louis Miles ;We absolutely LOVED the tour today, its seriously been the highlight of my stay in Sofia so far, I wish there were other routes as I'd love to join again, walk around the city and enjoy the sights, sounds and stories once more! Thank you Boyko! :) ;30.08.2011;United States
128;Antonia Nespoli ;Great great tour and tour guide!!! ;03.09.2011;Italy
129;Stee Jackson ;Thanks Misha, great tour. :);04.09.2011;UK
130;Aneta GГіrkier;Thanks again Krasi for a wonderful Sofia tour! Greetings from Brussels!;04.09.2011;Belgium
131;Guzel Kamaletdinova;It was the best walk ever! Greetings from Moscow! Thanks a loooot! Special thanks to Peter!!!! ;06.09.2011;Russia
132;Anna Kirkova ;It was very interesting and informative. Guys, itВґs just amazing, what you are doing! Keep walking!  Special thanks to Misha for the nice trip.;08.09.2011;Bulgaria
133;Miljan LeДЌiД‡ ;Awsome tour! Petar was great guide!;13.09.2011;
134;Neal Hardern ;This tour is very good and here's why: 1) The route is a nice walk around Sofia 2) The guide was excellent (friendly and knowledgeable) 3) The sights are very interesting 4) IT'S FREE!!!!;14.09.2011;
135;Lorena LГіpez Puerto ;Great tour, great guide! It was amazing the amount of information and history about Sofia he knew. Wonderful! Did the tour with Niki!;14.09.2011;
136;BritBronco ;It was very informative tour about the history of Sofia, and I also liked meeting other people on the tour from lots of different countries!;26.07.2011;UK
137;ivnjordanova;The tour was great even for a local person as myself. Thanks Mitko for all the funny facts and personal experiences you shared.;01.08.2011;Bulgaria
138;PeterAuger ;I took a Free Sofia Tour on my first night in the city and found it an in-depth introduction to the city that provided ideas for exploration on future days. Deni was both knowledgable and friendly. No pressure to tip, but almost everyone on our tour did. A great way to make visitors feel welcome in the city. ;03.08.2011;UK
139;Cristian1 ;The tour is very good, ideal to see the main attractions in the center . Our giude Deni has History background so she could ask the most interesting questions. Fell free to tip the guides at the tour end , they realy worth it.;04.08.2011;
140;Akhtar Hussain;It was very informative. We really enjoyed our tour in a company of Boyko (a handsome and fluent guide).;08.08.2011;UK
141;jessicaleedoyle;This was one of the best walking ours I've done (I've done around 12 in Europe) the guides place no focus on their desire for tips at the end of the tour unlike the bigger companies but of course do let you know that donations are welcome.;10.08.2011;
142;diafreya ;I am Bulgarian and I live in Sofia, but I attended the tour. I was just amazed at the ability of the guide to present our capital city in such an interesting way. I learned a lot of new things about the sights. The information is not boring history, but just interesting, even sometimes funny facts. ;15.08.2011;Bulgaria
143;jen_aq ;It rocks! Highly recommended, our guide Deni spoke perfect English and was very friendly and knowledgeable;15.08.2011;Romania
144;Lisa H ;We really enjoyed the Free Sofia Tour. Thanks to our guide Vanya we got an insight in as well the historical as contemporary Sofia, and we laughed a lot!;19.08.2011;Belgium
145;nataliegoes;The Free Sophia Tour doesn't need another glowing review, but I'll give it any way. I used to be a tour guide, so I am a very tough critic. I find half the tours I go on to be a waste of my time. They usually whiz you around but spend most of the time in transit, tell you almost nothing but the most boring of facts, and give you no insight into the actual importance to the culture of today. None of those problems arose on this tour. Dimitri not only pointed out the important places, but the little details. He talked most of the time, educating us not only on the past, but it's significance on the present. He didn't white wash the tour either. He not only told us many patriotic stories, but also included the less pretty and how all of it relates to the culture that exists today - both good and bad.;01.09.2011;China
146;NadS753 ;Cool and interesting information about the history of Sofia. Ours was guided by a young enthusiastic historian who loved sharing her knowledge about the city. According to my teenage children, the tour was the best sightseeing moment of our stay. ;02.09.2011;Switzerland
147;chicchic325 ;An amazing local guide! Gave us insights to the city and a great way to locate yourself in the city.;04.09.2011;US
148;Waterloosunset1 ;The walk itself was nice and leisurely and very enjoyable. Christian the guide was very knowledgeable and spoke good english. The tour was nice and informal and very informative. ;04.09.2011;
149;debbie8884 ;The free walking tour in Sofia was a great start to a two month trip through Europe. I didn't really want to go to Bulgaria in the first place, but I am so glad I did! A rich history, and a great culture. I wouldn't have understood the city at all if the excellent tour guide hadn't given us an in depth history lesson through the city! Definitely recommended! ;08.09.2011;United States
150;Swampi ;I knew absolutely nothing about Bulgaria before going on this whistle-stop tour of the city. I found it really interesting and by the end of it I knew the three attractions in Sophia that I was going to see during the remainder of my stay. Boyko was an excellent guide. ;10.09.2011;UK
151;troosevelt ;Spent a very enjoyable afternoon walking the streets of Sofia with our guide, Boyko, today. My family recommends this tour for all english speakers who are new to Sofia. ;16.07.2011;
152;GLSScouts ;Greater London South Scouts went on the tour around Sofia it was very interesting and informative, highly recommended a great afternoon - thanks Petar it was fantastic!;18.08.2011;UK
153;avante25;It was a great evening with our guide Vanya. We really enjoyed it. Guys from Poland :);29.08.2011;Poland
154;guzelka ;Greetings from Moscow! Thanks a loooot! It was the best walk ever!;12.09.2011;Russia
155;Khalid BuTubar;Excellent tour in Sofia. Thanks to Kris;24.09.2011;UAE
156;Joel Lagerquist;What a great tour! Fun and Informative. Don't miss it if you are in Sofia. What a great resource for the city of Sofia.;23.09.2011;United States
157;Jess Hawker;It was brilliant! We learnt so much about Bulgarian history and Sofia! We are still reading your blog and enjoying keeping up to date. Keep up the good work.;22.09.2011;UK
158;Joanie Crawford;Thanks Petar for the great tour and for sharing all the info about Bulgaria. ;21.09.2011;UK
159;Diane Tromans-Berg;Brilliant and informative tour with Petar. Walked a few weeks ago with Boyko and loved it so much I had to share with more friends. Can't wait to take any future visitors to Sofia on a walk again.;20.09.2011;United States
160;Montse Coque Conde;Great tour, great guide! It was amazing the amount of information and history about Sofia he knew and let us know. Wonderful! ItВґs highly recommend for a tourist, ItВґs great what you guys are doing, in my modest opinion itВґs another big sight in Sofia. Good Job Petar.;19.09.2011;Congo
161;Ian McDonald;Wondered what we could learn as we had been coming to Sofia for 5 years. It was fantastic and we got a lot of 'inside' information not available in any of the books. One of the most professional and fun walks I have ever been on. A MUST for any visitor to this fantastic city.;18.09.2011;Ireland
162;Alicia Le'Roy;Such an amazing and totally worthwhile experience. Thanks Niki and the company for such a great and informative introduction to Sofia! Cheers!;02.10.2011;Australia
163;Jelena Makarova;Thanks Niki for the amazing tour we had today!;02.10.2011;Estonia
164;Leo Cortana ;"I just want to congratulate for this really good initiative....we will spread the word ;-)";21.10.2011;Portugal
165;Mook Intakornudom;I just want to share that it was amazing. And to thank you all of you guys who work in this organization. I am just back to the hotel after tour today at 11 am.;21.10.2011;Philippines
166;Christoph Woop ;It was great. Thanks a lot for a fantastic time. ;30.10.2011;Germany
167;Stella Minett;"Thanks Boyko for an enjoyable tour from someone who 'doesn't do tours'!
";31.10.2011;UK
168;deuce_advisor ;An amazing mixture of a sightseeing trip, history lecture and a fun conversation with nice people! We - a native Bulgarian and a German - decided to participate in the Free Sofia Tour mainly because we were interested in a structured, well-presented summary of the Bulgarian history and some sightseeing tips. What we got was so much more! Our guide Vanya was fun, open, friendly and well-infomed.We can advise anyone visiting Sofia to take part in the Free Sofia Tour, it's a really extraordinary experience! :) ;22.09.2011;Germany
169;EmskiB ;The tour was really well introduced and well presented by the friendly and knowledgeable guide Nikki, one of several that the tour association have. Over the course of 3 hours he gave detailed and interesting info about Sofia, it's history and it's key buildings. He was even careful to take care of our safety during the tour, and was courteous throughout. I thoroughly recommend the tour, as it will give you such insight into Sofia and the history and current situation of Bulgaria. ;16.10.2011;Bulgaria
170;Georgiana & Mihai ;It proved to be more than enough, as the tour serves as a perfect introduction to the city. For us it also ment meeting new friends with whom we had the chance to spend time for the following days. We travelled to Sofia without having much planned except for the accomodation and the wish to take this tour. ;19.10.2011;Romania
171;Andrew M;"Nikolai was brilliant! Very well informed, honest and he spoke perfect English.
This is a must experience thing-to-do for visitors to Sofia who are interested in the history of the Bulgarian capital. Nikolai was able to point out all the little hidden gems and highlight the detailed story for all the points on this walking tour. ";23.10.2011;Australia
172;spitze1982 ;A great introduction to Sofia by people who are passionate about their city. I was recommended to the Free Sofia Tour by a friend of mine who lives in Sofia. I learned so much about the city that, later that day, I was able to impress many of her Bulgarian friends with facts that they didn't know.;25.10.2011;UK
173;Gergana D;We saw the most significant sights in the capital for about 2 hours and both me and my friend had great fun. The guide Boyko was well informed, real professional in every way (even being careful about tourists' safety all the time) and really funny :))) I had a friend over from London and tried to show him around Sofia thinking that I know enough about my home town. Turns out its not that simple. The Free Sofia Tour was a much better idea. I'd recommend the tour to everyone visiting Sofia - whether you are a tourist from abroad or just coming from the Bulgarian countryside.;27.10.2011;Bulgaria
174;Katrien Meeussen ;I really enjoyed the tour today. Thanks a lot! I'll be back ;11.11.2011;
175;Francoise Rousseau ;I came to discover the city in a short time but from many interesting points of view, and it was great ! Lots of fun and memories ! ;01.11.2011;Belgium
176;Lina Zemeckyte;Thanks Kris for a great tour, I've really enjoyed it! ;06.11.2011;Lithuania
177;Rodolfo Zagreus;"It was a great experience, full of knowledge and great people !
";09.11.2011;
178;Antonia Kalerantes ;"thank you so much Krasi for a really nice tour! we wish you the best!!
";12.11.2011;Austria
